CCC mm,Edep,x,BIC_HP_3,LET,,,,,
8.2245,0.2305887,3.9,0.214421704,2.334662914,1.942721367,,,,
8.399196,0.2309619,4,0.214792384,2.324160337,1.898821592,,,,
8.573892,0.2319529,4.1,0.213964456,2.287157536,1.851222515,,,,
8.748588,0.232364,4.2,0.213451278,2.336488008,1.884375095,,,,
8.923284,0.2325003,4.3,0.215408435,2.296895266,1.925515532,,,,
9.09798,0.2340212,4.4,0.213231098,2.264029264,1.882728934,,,,
9.272676,0.2350988,4.5,0.21547693,2.321052313,1.983303785,,,,
9.447371,0.234649,4.6,0.215707042,2.262937784,1.967716813,,,,
9.622067,0.2344035,4.7,0.216047586,2.322184324,1.934209108,,,,
9.796764,0.2363321,4.8,0.21618755,2.337254524,1.906555176,,,,
9.97146,0.2374326,4.9,0.215495084,2.335216045,1.867859602,,,,
10.14616,0.2370556,5,0.218382941,2.336315155,1.99044919,,,,
10.32085,0.2382341,5.1,0.218959246,2.353538513,1.969942927,,,,
10.49555,0.2388766,5.2,0.220578855,2.34397912,1.985459566,,,,
10.67024,0.2385144,5.3,0.219841978,2.37859869,1.896745801,,,,
10.84494,0.2402731,5.4,0.21868201,2.372821569,1.940752983,,,,
11.01964,0.2393018,5.5,0.218398019,2.360949993,1.932363868,,,,
11.19433,0.2421336,5.6,0.218737578,2.287502527,1.917379498,,,,
11.36903,0.2425756,5.7,0.220389394,2.400660992,1.952574968,,,,
11.54372,0.2420873,5.8,0.219812144,2.371542454,1.93668735,,,,
11.71842,0.2432046,5.9,0.220677385,2.368789434,1.952342749,,,,
11.89312,0.244383,6,0.220688764,2.364743233,2.027676582,,,,
12.06781,0.2451539,6.1,0.22315542,2.283668041,1.986769199,,,,
12.24251,0.2455218,6.2,0.219851427,2.289740086,1.845952511,,,,
12.4172,0.2467407,6.3,0.220395767,2.358100891,1.866429448,,,,
12.5919,0.2474554,6.4,0.22325576,2.356357574,1.929794669,,,,
12.7666,0.2482734,6.5,0.22219784,2.26857996,1.97790134,,,,
12.94129,0.2483543,6.6,0.221982927,2.281081676,1.993723035,,,,
13.11599,0.249503,6.7,0.223706856,2.293621063,1.937125564,,,,
13.29068,0.2512258,6.8,0.223095007,2.344037533,1.976623654,,,,
13.46538,0.2521655,6.9,0.223719602,2.275739431,2.034152508,,,,
13.64008,0.2532193,7,0.223202021,2.317457914,2.026705742,,,,
13.81477,0.2541357,7.1,0.223185436,2.260823488,1.98648262,,,,
13.98947,0.2547145,7.2,0.223205138,2.351213932,1.974221587,,,,
14.16416,0.2567713,7.3,0.224065454,2.359650135,1.918130159,,,,
14.33886,0.2572414,7.4,0.226342326,2.270771503,1.975181341,,,,
14.51356,0.2587275,7.5,0.225738881,2.325192451,2.01172328,,,,
14.68825,0.2589996,7.6,0.225756311,2.376357079,1.965179563,,,,
14.86295,0.260698,7.7,0.227684438,2.384937048,2.035249949,,,,
15.03764,0.2607532,7.8,0.229504042,2.395033121,2.015356779,,,,
15.21234,0.2625575,7.9,0.227157629,2.347296,2.052549601,,,,
15.38704,0.2632112,8,0.228179422,2.375895977,2.011650324,,,,
15.56173,0.264899,8.1,0.22991861,2.34303689,2.01649189,,,,
15.73643,0.266247,8.2,0.2300325,2.339795113,2.001230717,,,,
15.91112,0.2672169,8.3,0.227641536,2.302054644,1.980236769,,,,
16.08582,0.2688262,8.4,0.230700439,2.332790613,1.999283314,,,,
16.26052,0.2697285,8.5,0.228666263,2.330539703,1.92191422,,,,
16.43521,0.2703273,8.6,0.229881095,2.33880496,2.003511667,,,,
16.60991,0.271618,8.7,0.230206722,2.363568544,1.992036343,,,,
16.7846,0.2727743,8.8,0.229494292,2.415874243,1.992475271,,,,
16.9593,0.2733026,8.9,0.231748889,2.384315729,2.080954075,,,,
17.134,0.2744176,9,0.233922608,2.377824783,1.989107609,,,,
17.30869,0.2767475,9.1,0.233373343,2.376977682,2.062199831,,,,
17.48339,0.2778315,9.2,0.23134156,2.432145596,2.060568094,,,,
17.65808,0.2785269,9.3,0.2322298,2.517439127,2.007733345,,,,
17.83278,0.2798133,9.4,0.232337176,2.516659021,2.041942358,,,,
18.00747,0.2823324,9.5,0.23319325,2.508565903,2.077966452,,,,
18.18217,0.2836215,9.6,0.236011568,2.514695644,2.158742189,,,,
18.35687,0.2851282,9.7,0.234174211,2.515116215,2.13852191,,,,
18.53156,0.2856656,9.8,0.235930749,2.445005178,2.164223194,,,,
